year,code,sex,population,deployment,tagID,divenum,maxdep,durwho,bzsounds,kindet,sc,NLmax
2009,2009_34,M,NRKW,oo09_237d,244,33,2.399381262,10.2,0,0,0,95.63711411
2009,2009_34,M,NRKW,oo09_237d,244,34,2.711885879,14,0,0,0,100.3748199
2009,2009_34,M,NRKW,oo09_237d,244,35,2.934228268,14.6,0,0,0,95.41983231
2009,2009_34,M,NRKW,oo09_237d,244,36,26.87924072,195.4,0,0,0,97.47920498
2009,2009_34,M,NRKW,oo09_237d,244,47,35.40991158,155.8,0,0,0,104.4794505
2009,2009_34,M,NRKW,oo09_237d,244,53,3.562824384,20.2,0,0,0,97.40627841
2009,2009_34,M,NRKW,oo09_237d,244,75,4.028359169,27.4,0,0,0,99.47400487
2009,2009_34,M,NRKW,oo09_237d,244,94,162.5454516,421.6,1,1,1,96.13152232
2009,2009_34,M,NRKW,oo09_237d,244,116,170.4724358,506.8,1,1,1,94.01687594
2009,2009_34,M,NRKW,oo09_237d,244,122,2.574288976,11.2,0,0,1,94.29368094
2009,2009_34,M,NRKW,oo09_237d,244,136,6.877202366,12,0,0,1,94.44395909
2009,2009_34,M,NRKW,oo09_237d,244,137,164.4550655,478.4,1,1,1,97.79792416
2009,2009_34,M,NRKW,oo09_237d,244,143,2.38960795,11.2,0,0,0,94.06096115
2009,2009_34,M,NRKW,oo09_237d,244,186,4.40227142,45.8,0,0,1,101.6546052
2009,2009_34,M,NRKW,oo09_237d,244,188,3.956738602,32.6,0,0,1,100.4927634
2009,2009_34,M,NRKW,oo09_237d,244,190,48.91885757,89.6,0,0,1,95.06130891
2009,2009_34,M,NRKW,oo09_237d,244,192,169.2105936,274.4,0,0,1,94.82651878
2009,2009_34,M,NRKW,oo09_237d,244,203,62.30812581,107.4,0,0,1,94.59854815
2009,2009_34,M,NRKW,oo09_237d,244,208,174.9662279,345.4,1,1,1,93.92517968
2009,2009_34,M,NRKW,oo09_237d,244,233,2.689139067,14.8,0,0,1,93.80829665
2009,2009_34,M,NRKW,oo09_237d,244,234,169.175402,341,1,1,1,94.83457633
2009,2009_34,M,NRKW,oo09_237d,244,237,2.377957828,11,0,0,1,100.1235429
2009,2009_34,M,NRKW,oo09_237d,244,242,169.6807389,229.4,1,1,1,94.57210318
2009,2009_34,M,NRKW,oo09_237d,244,261,170.0938615,468.4,1,1,1,94.31880443
2009,2009_34,M,NRKW,oo09_237d,244,270,3.133627915,11.8,0,0,0,94.57182295
2009,2009_34,M,NRKW,oo09_237d,244,281,3.238125501,19.6,0,0,0,96.01409083
2009,2009_34,M,NRKW,oo09_237d,244,316,5.605341755,30.6,0,0,0,100.1236855
2009,2009_35,M,NRKW,oo09_239a,244,11,14.74491184,119.4,0,0,0,96.61435753
2009,2009_35,M,NRKW,oo09_239a,244,12,2.443052228,13,0,0,0,95.96793321
2009,2009_35,M,NRKW,oo09_239a,244,13,2.807984257,13.6,0,0,0,96.60176957
2009,2009_35,M,NRKW,oo09_239a,244,15,19.79106112,101.8,0,0,0,95.92247317
2009,2009_35,M,NRKW,oo09_239a,244,21,26.10088749,84.6,0,0,0,95.05051341
2009,2009_35,M,NRKW,oo09_239a,244,24,10.29045054,76.2,0,0,0,95.57418614
2009,2009_35,M,NRKW,oo09_239a,244,27,30.51080343,190.8,0,0,0,95.77913197
2009,2009_35,M,NRKW,oo09_239a,244,31,17.78744663,186.8,0,0,0,96.56657847
2009,2009_35,M,NRKW,oo09_239a,244,36,26.50796413,215.6,0,0,0,96.00849134
2009,2009_35,M,NRKW,oo09_239a,244,41,32.65361006,218,0,0,0,96.45512873
2009,2009_35,M,NRKW,oo09_239a,244,45,5.023460549,55.6,0,0,0,93.96785665
2009,2009_35,M,NRKW,oo09_239a,244,46,7.294627414,57.2,0,0,0,94.18586534
2009,2009_35,M,NRKW,oo09_239a,244,48,5.133316375,34.2,0,0,0,94.278993
2009,2009_35,M,NRKW,oo09_239a,244,50,19.52799243,156,0,0,0,95.58117073
2009,2009_35,M,NRKW,oo09_239a,244,54,4.039293779,43.8,0,0,0,95.33783176
2009,2009_35,M,NRKW,oo09_239a,244,55,5.076102445,54.2,0,0,0,96.76402518
2009,2009_35,M,NRKW,oo09_239a,244,58,17.28703536,55,0,0,0,95.45049649
2009,2009_35,M,NRKW,oo09_239a,244,59,6.214199727,38.4,0,0,0,94.66547177
2009,2009_35,M,NRKW,oo09_239a,244,60,21.16436467,188,0,0,0,97.48652919
2009,2009_35,M,NRKW,oo09_239a,244,64,14.90414481,123.2,0,0,0,95.37517742
2009,2009_35,M,NRKW,oo09_239a,244,66,3.309328595,40,0,0,0,94.34558385
2009,2009_35,M,NRKW,oo09_239a,244,68,7.956438641,118.6,0,0,0,94.91180529
2009,2009_35,M,NRKW,oo09_239a,244,72,3.636819417,26.8,0,0,0,94.23674183
2009,2009_35,M,NRKW,oo09_239a,244,77,4.525802425,31.4,0,0,0,94.09712659
2009,2009_35,M,NRKW,oo09_239a,244,79,3.079832406,27.4,0,0,0,94.09943591
2009,2009_35,M,NRKW,oo09_239a,244,81,5.437206625,39,0,0,0,94.14449033
2009,2009_35,M,NRKW,oo09_239a,244,82,11.58807772,114.8,0,0,0,98.7717296
2009,2009_35,M,NRKW,oo09_239a,244,83,2.07840803,16.2,0,0,0,94.03447354
2009,2009_35,M,NRKW,oo09_239a,244,87,2.290012657,12.8,0,0,0,94.08602775
