population,deployment,tagID,sex,divenum,maxdep,durwho,kindet,bzsounds,sc,context
NRKW,oo09_235a,243,F,23,75.91217306,194.8,1,0,0,foraging
NRKW,oo09_235a,243,F,24,2.931482247,12.2,0,0,0,non_foraging
NRKW,oo09_235a,243,F,50,87.67196623,217.8,0,0,0,foraging
NRKW,oo09_235a,243,F,51,3.02621213,12.2,0,0,1,non_foraging
NRKW,oo09_235a,243,F,53,2.310464574,10.8,0,0,0,non_foraging
NRKW,oo09_235a,243,F,55,2.901237327,12.8,0,0,0,non_foraging
NRKW,oo09_235a,243,F,56,3.523140272,14.6,0,0,0,non_foraging
NRKW,oo09_235a,243,F,63,120.7308198,226.0,0,0,1,foraging
NRKW,oo09_235a,243,F,92,105.1791373,193.8,0,0,1,foraging
NRKW,oo09_235a,243,F,106,4.780511307,19.2,0,0,0,non_foraging
NRKW,oo09_235a,243,F,128,2.140373,9.4,0,0,0,non_foraging
NRKW,oo09_235a,243,F,227,4.260045481,27.4,0,0,1,non_foraging
NRKW,oo09_235a,243,F,233,18.0400416,100.4,0,0,1,non_foraging
NRKW,oo09_235a,243,F,240,17.17201955,69.2,0,0,1,non_foraging
NRKW,oo09_235a,243,F,242,3.560486073,17.6,0,0,1,non_foraging
NRKW,oo09_235a,243,F,250,2.983938643,13.4,0,0,0,non_foraging
NRKW,oo09_235a,243,F,251,7.241285103,63.6,0,0,1,non_foraging
NRKW,oo09_235a,243,F,263,6.867121883,47.6,0,0,1,non_foraging
NRKW,oo09_235a,243,F,277,4.77402648,14.2,0,0,1,non_foraging
NRKW,oo09_235a,243,F,280,3.186382495,11.8,0,0,0,non_foraging
NRKW,oo09_235a,243,F,289,4.36752797,17.0,0,0,0,non_foraging
NRKW,oo09_235a,243,F,293,4.624692709,20.6,0,0,0,non_foraging
NRKW,oo09_235a,243,F,295,4.791485394,36.0,0,0,0,non_foraging
NRKW,oo09_235a,243,F,296,3.501573778,21.8,0,0,0,non_foraging
